original_review,processed_review,rating,sentiment
I believe that it's the best packaged tea in the market. The taste is something you would cherish for long after having a cup of tea. Long leaves give an enchanting aroma which draws you in the kitchen while tea brews. Packaging is of high quality and appealing. The packaging colour is golden to reflect GOLD. Buy once and you will forget other brands.READ MORE,believe best packaged tea market taste something would cherish long cup tea long leaf give enchanting aroma draw kitchen tea brew packaging high quality appealing packaging colour golden reflect gold buy forget brandsread,5,1
Very good product.READ MORE,good productread,5,1
Great product 🤗 with great deals 😍😍 Tata Tea Gold is best till now since I used it . ❤️READ MORE,great product great deal tata tea gold best till since used read,5,1
Very nice and super qwality tea taste are greater so i am really empress your service and qwality price some one high but I don't compare price and choices so i am so happy to choose this product thank you very much ekart and his seller's to faster deliveryREAD MORE,nice super qwality tea taste greater really empress service qwality price one high dont compare price choice happy choose product thank much ekart seller faster deliveryread,5,1
Great test great quality great price point time to deliver 👍 best option for red tea lover ☺️READ MORE,great test great quality great price point time deliver best option red tea lover read,5,1
Nice 😊READ MORE,nice read,4,1
Very Good Tata tea product.READ MORE,good tata tea productread,5,1
Nice for red tea.Valeu for moneyREAD MORE,nice red teavaleu moneyread,5,1
niceREAD MORE,niceread,4,1
Tata Gold  Vs Tata Tea Premium👍Tata Tea Premium Is GoodREAD MORE,tata gold v tata tea premiumtata tea premium goodread,1,0
I believe that it's the best packaged tea in the market. The taste is something you would cherish for long after having a cup of tea. Long leaves give an enchanting aroma which draws you in the kitchen while tea brews. Packaging is of high quality and appealing. The packaging colour is golden to reflect GOLD. Buy once and you will forget other brands.READ MORE,believe best packaged tea market taste something would cherish long cup tea long leaf give enchanting aroma draw kitchen tea brew packaging high quality appealing packaging colour golden reflect gold buy forget brandsread,5,1
Very good product.READ MORE,good productread,5,1
Great product 🤗 with great deals 😍😍 Tata Tea Gold is best till now since I used it . ❤️READ MORE,great product great deal tata tea gold best till since used read,5,1
Very nice and super qwality tea taste are greater so i am really empress your service and qwality price some one high but I don't compare price and choices so i am so happy to choose this product thank you very much ekart and his seller's to faster deliveryREAD MORE,nice super qwality tea taste greater really empress service qwality price one high dont compare price choice happy choose product thank much ekart seller faster deliveryread,5,1
Great test great quality great price point time to deliver 👍 best option for red tea lover ☺️READ MORE,great test great quality great price point time deliver best option red tea lover read,5,1
Nice 😊READ MORE,nice read,4,1
Very Good Tata tea product.READ MORE,good tata tea productread,5,1
Nice for red tea.Valeu for moneyREAD MORE,nice red teavaleu moneyread,5,1
niceREAD MORE,niceread,4,1
Tata Gold  Vs Tata Tea Premium👍Tata Tea Premium Is GoodREAD MORE,tata gold v tata tea premiumtata tea premium goodread,1,0
I believe that it's the best packaged tea in the market. The taste is something you would cherish for long after having a cup of tea. Long leaves give an enchanting aroma which draws you in the kitchen while tea brews. Packaging is of high quality and appealing. The packaging colour is golden to reflect GOLD. Buy once and you will forget other brands.READ MORE,believe best packaged tea market taste something would cherish long cup tea long leaf give enchanting aroma draw kitchen tea brew packaging high quality appealing packaging colour golden reflect gold buy forget brandsread,5,1
Very good product.READ MORE,good productread,5,1
Great product 🤗 with great deals 😍😍 Tata Tea Gold is best till now since I used it . ❤️READ MORE,great product great deal tata tea gold best till since used read,5,1
Very nice and super qwality tea taste are greater so i am really empress your service and qwality price some one high but I don't compare price and choices so i am so happy to choose this product thank you very much ekart and his seller's to faster deliveryREAD MORE,nice super qwality tea taste greater really empress service qwality price one high dont compare price choice happy choose product thank much ekart seller faster deliveryread,5,1
Great test great quality great price point time to deliver 👍 best option for red tea lover ☺️READ MORE,great test great quality great price point time deliver best option red tea lover read,5,1
Nice 😊READ MORE,nice read,4,1
Very Good Tata tea product.READ MORE,good tata tea productread,5,1
Nice for red tea.Valeu for moneyREAD MORE,nice red teavaleu moneyread,5,1
niceREAD MORE,niceread,4,1
Tata Gold  Vs Tata Tea Premium👍Tata Tea Premium Is GoodREAD MORE,tata gold v tata tea premiumtata tea premium goodread,1,0
I believe that it's the best packaged tea in the market. The taste is something you would cherish for long after having a cup of tea. Long leaves give an enchanting aroma which draws you in the kitchen while tea brews. Packaging is of high quality and appealing. The packaging colour is golden to reflect GOLD. Buy once and you will forget other brands.READ MORE,believe best packaged tea market taste something would cherish long cup tea long leaf give enchanting aroma draw kitchen tea brew packaging high quality appealing packaging colour golden reflect gold buy forget brandsread,5,1
Very good product.READ MORE,good productread,5,1
Great product 🤗 with great deals 😍😍 Tata Tea Gold is best till now since I used it . ❤️READ MORE,great product great deal tata tea gold best till since used read,5,1
Very nice and super qwality tea taste are greater so i am really empress your service and qwality price some one high but I don't compare price and choices so i am so happy to choose this product thank you very much ekart and his seller's to faster deliveryREAD MORE,nice super qwality tea taste greater really empress service qwality price one high dont compare price choice happy choose product thank much ekart seller faster deliveryread,5,1
Great test great quality great price point time to deliver 👍 best option for red tea lover ☺️READ MORE,great test great quality great price point time deliver best option red tea lover read,5,1
Nice 😊READ MORE,nice read,4,1
Very Good Tata tea product.READ MORE,good tata tea productread,5,1
